ID|Facility Name|City|State
DHN|DOTHAN RGNL|DOTHAN|AL
TCL|TUSCALOOSA RGNL|TUSCALOOSA|AL
FYV|DRAKE FIELD|FAYETTEVILLE|AR
TXK|TEXARKANA RGNL-WEBB FIELD|TEXARKANA|AR
GEU|GLENDALE MUNI|GLENDALE|AZ
GYR|PHOENIX GOODYEAR|GOODYEAR|AZ
IFP|LAUGHLIN/BULLHEAD INTL|BULLHEAD CITY|AZ
RYN|RYAN FIELD|TUCSON|AZ
FUL|FULLERTON MUNI|FULLERTON|CA
MER|CASTLE|ATWATER|CA
OXR|OXNARD|OXNARD|CA
RAL|RIVERSIDE MUNI|RIVERSIDE|CA
RNM|RAMONA|RAMONA|CA
SAC|SACRAMENTO EXECUTIVE|SACRAMENTO|CA
SDM|BROWN FIELD MUNI|SAN DIEGO|CA
SNS|SALINAS MUNI|SALINAS|CA
VCV|SOUTHERN CALIFORNIA LOGISTICS|VICTORVILLE|CA
WHP|WHITEMAN|LOS ANGELES|CA
WJF|GENERAL WM J FOX AIRFIELD|LANCASTER|CA
BDR|IGOR I SIKORSKY MEMORIAL|BRIDGEPORT|CT
DXR|DANBURY MUNI|DANBURY|CT
GON|GROTON-NEW LONDON|GROTON (NEW LONDON)|CT
HFD|HARTFORD-BRAINARD|HARTFORD|CT
HVN|TWEED-NEW HAVEN|NEW HAVEN|CT
OXC|WATERBURY-OXFORD|OXFORD|CT
APF|NAPLES MUNI|NAPLES|FL
BCT|BOCA RATON|BOCA RATON|FL
EVB|NEW SMYRNA BEACH MUNI|NEW SMYRNA BEACH|FL
FMY|PAGE FIELD|FORT MYERS|FL
HWO|NORTH PERRY|HOLLYWOOD|FL
LAL|LAKELAND LINDER RGNL|LAKELAND|FL
LEE|LEESBURG INTL|LEESBURG|FL
OCF|OCALA INTL-JIM TAYLOR FIELD|OCALA|FL
OMN|ORMOND BEACH MUNI|ORMOND BEACH|FL
PGD|PUNTA GORDA PUNTA|GORDA|FL
SGJ|NORTHEAST FLORIDA RGNL|ST AUGUSTINE|FL
SPG|ALBERT WHITTED|ST PETERSBURG|FL
SUA|WITHAM FIELD|STUART|FL
TIX|SPACE COAST RGNL|TITUSVILLE|FL
ABY|SOUTHWEST GEORGIA RGNL|ALBANY|GA
AHN|ATHENS/BEN EPPS|ATHENS|GA
LZU|GWINNETT COUNTY - BRISCOE FIELD|LAWRENCEVILLE|GA
MCN|MIDDLE GEORGIA RGNL|MACON|GA
RYY|COBB COUNTY- MCCOLLUM FIELD|ATLANTA|GA
DBQ|DUBUQUE RGNL|DUBUQUE|IA
IDA|IDAHO FALLS RGNL|IDAHO FALLS|ID
LWS|LEWISTON-NEZ PERCE COUNTY|LEWISTON|ID
PIH|POCATELLO RGNL|POCATELLO|ID
SUN|FRIEDMAN MEMORIAL|HAILEY|ID
ALN|ST LOUIS RGNL|ALTON/ST LOUIS|IL
BMI|CENTRAL IL RGNL ARPT AT BLOOMINGTON- NORMAL|BLOOMINGTON/ NORMAL|IL
DEC|DECATUR|DECATUR|IL
MDH|SOUTHERN ILLINOIS|CARBONDALE/MURPHYSBORO|IL
UGN|WAUKEGAN RGNL|CHICAGO/ WAUKEGAN|IL
BAK|COLUMBUS MUNI|COLUMBUS|IN
GYY|GARY/CHICAGO INTL|GARY|IN
HUT|HUTCHINSON MUNI|HUTCHINSON|KS
IXD|NEW CENTURY AIRCENTER|OLATHE|KS
MHK|MANHATTAN RGNL|MANHATTAN|KS
OJC|JOHNSON COUNTY EXECUTIVE|OLATHE|KS
TOP|PHILIP BILLARD MUNI|TOPEKA|KS
OWB|OWENSBORO-DAVIESS COUNTY|OWENSBORO|KY
PAH|BARKLEY RGNL|PADUCAH|KY
DTN|SHREVEPORT DOWNTOWN|SHREVEPORT|LA
BVY|BEVERLY MUNI|BEVERLY|MA
EWB|NEW BEDFORD RGNL|NEW BEDFORD|MA
LWM|LAWRENCE MUNI|LAWRENCE|MA
ORH|WORCESTER RGNL|WORCESTER|MA
OWD|NORWOOD MEMORIAL|NORWOOD|MA
ESN|EASTON/NEWNAM FIELD|EASTON|MD
FDK|FREDERICK MUNI|FREDERICK|MD
HGR|HAGERSTOWN RGNL- RICHARD A HENSON FLD|HAGERSTOWN|MD
MTN|MARTIN STATE|BALTIMORE|MD
SBY|SALISBURY-OCEAN CITY WICOMICO RGNL|SALISBURY|MD
BTL|W K KELLOGG|BATTLE CREEK|MI
DET|COLEMAN A. YOUNG MUNI|DETROIT|MI
SAW|SAWYER INTL|MARQUETTE|MI
ANE|ANOKA COUNTY-BLAINE ARPT(JANES FIELD)|MINNEAPOLIS|MN
STC|ST CLOUD RGNL|ST CLOUD|MN
BBG|BRANSON|BRANSON|MO
COU|COLUMBIA RGNL|COLUMBIA|MO
GLH|MID DELTA RGNL|GREENVILLE|MS
HKS|HAWKINS FIELD|JACKSON|MS
HSA|STENNIS INTL (HSA)|BAY ST LOUIS|MS
OLV|OLIVE BRANCH|OLIVE BRANCH|MS
TUP|TUPELO RGNL|TUPELO|MS
GPI|GLACIER PARK INTL|KALISPELL|MT
EWN|COASTAL CAROLINA REGIONAL|NEW BERN|NC
HKY|HICKORY RGNL|HICKORY|NC
INT|SMITH REYNOLDS|WINSTON SALEM|NC
ISO|KINSTON RGNL JETPORT AT STALLINGS FLD|KINSTON|NC
JQF|CONCORD RGNL|CONCORD|NC
ASH|BOIRE FIELD|NASHUA|NH
TTN|TRENTON MERCER|TRENTON|NJ
AEG|DOUBLE EAGLE II|ALBUQUERQUE|NM
SAF|SANTA FE MUNI|SANTA FE|NM
ITH|ITHACA TOMPKINS RGNL|ITHACA|NY
RME|GRIFFISS INTL|ROME|NY
CGF|CUYAHOGA COUNTY|CLEVELAND|OH
OSU|OHIO STATE UNIVERSITY|COLUMBUS|OH
TZR|BOLTON FIELD|COLUMBUS|OH
LAW|LAWTON-FORT SILL RGNL|LAWTON|OK
OUN|UNIVERSITY OF OKLAHOMA WESTHEIMER|NORMAN|OK
PWA|WILEY POST|OKLAHOMA CITY|OK
SWO|STILLWATER RGNL|STILLWATER|OK
OTH|SOUTHWEST OREGON RGNL|NORTH BEND|OR
PDT|EASTERN OREGON RGNL AT PENDLETON|PENDLETON|OR
SLE|MCNARY FLD|SALEM|OR
TTD|PORTLAND-TROUTDALE|PORTLAND|OR
CXY|CAPITAL CITY|HARRISBURG|PA
LBE|ARNOLD PALMER RGNL|LATROBE|PA
LNS|LANCASTER|LANCASTER|PA
CRE|GRAND STRAND|NORTH MYRTLE BEACH|SC
GYH|DONALDSON CENTER|GREENVILLE|SC
HXD|HILTON HEAD|HILTON HEAD ISLAND|SC
MKL|MC KELLAR-SIPES RGNL|JACKSON|TN
NQA|MILLINGTON RGNL JETPORT|MILLINGTON|TN
BAZ|NEW BRAUNFELS MUNI|NEW BRAUNFELS|TX
BRO|BROWNSVILLE/ SOUTH PADRE ISLAND INTL|BROWNSVILLE|TX
CLL|EASTERWOOD FIELD|COLLEGE STATION|TX
CNW|TSTC WACO|WACO|TX
CXO|LONE STAR EXECUTIVE|HOUSTON|TX
GTU|GEORGETOWN MUNI|GEORGETOWN|TX
HYI|SAN MARCOS MUNI|SAN MARCOS|TX
RBD|DALLAS EXECUTIVE|DALLAS|TX
SGR|SUGAR LAND RGNL|HOUSTON|TX
SSF|STINSON MUNI|SAN ANTONIO|TX
TKI|COLLIN COUNTY RGNL AT MC KINNEY|DALLAS|TX
TYR|TYLER POUNDS RGNL|TYLER|TX
VCT|VICTORIA RGNL|VICTORIA|TX
OGD|OGDEN-HINCKLEY|OGDEN|UT
PVU|PROVO MUNI|PROVO|UT
LYH|LYNCHBURG RGNL/ PRESTON GLENN FLD|LYNCHBURG|VA
OLM|OLYMPIA RGNL|OLYMPIA|WA
RNT|RENTON MUNI|RENTON|WA
SFF|FELTS FIELD|SPOKANE|WA
TIW|TACOMA NARROWS|TACOMA|WA
YKM|YAKIMA AIR TERMINAL/ MCALLISTER FIELD|YAKIMA|WA
CWA|CENTRAL WISCONSIN|MOSINEE|WI
EAU|CHIPPEWA VALLEY RGNL EAU|CLAIRE|WI
ENW|KENOSHA RGNL|KENOSHA|WI
JVL|SOUTHERN WISCONSIN RGNL|JANESVILLE|WI
LSE|LA CROSSE MUNI|LA CROSSE|WI
MWC|LAWRENCE J TIMMERMAN|MILWAUKEE|WI
OSH|WITTMAN RGNL|OSHKOSH|WI
UES|WAUKESHA COUNTY|WAUKESHA|WI
HLG|WHEELING OHIO CO|WHEELING|WV
LWB|GREENBRIER VALLEY|LEWISBURG|WV
PKB|MID-OHIO VALLEY RGNL|PARKERSBURG|WV